id,female,advers,VS.1,VS.2,VS.3,VS.4,VS.5,EXT.1,EXT.2,EXT.3,EXT.4,EXT.5
1,1,0,6.666666667,NA,NA,NA,NA,1.08333325,0,NA,NA,NA
2,1,0,5.238095238,4.285714286,NA,NA,NA,3.24999975,2.1666665,1.08333325,NA,NA
3,0,0,6.190476191,9.047619048,8.571428571,7.142857143,8.820774961,2.1666665,2.1666665,2.527777583,2.888888667,4.493839725
4,0,1,6.190476191,4.761904762,4.761904762,6.190476191,5.306456549,NA,2.527777583,0.722222167,1.08333325,0.808815781
5,0,0,7.619047619,5.714285714,7.142857143,8.571428571,7.083063481,3.24999975,2.527777583,3.24999975,3.24999975,1.605554339
6,0,1,5.238095238,7.142857143,5.714285714,4.761904762,5.863021381,3.24999975,2.1666665,2.527777583,2.527777583,2.633465665
7,0,0,7.619047619,6.666666667,7.619047619,7.619047619,8.440393348,3.24999975,2.527777583,2.527777583,2.888888667,3.776132067
8,0,1,8.571428571,9.047619048,10,9.047619048,10.22100825,3.611110833,3.611110833,3.972221917,3.611110833,1.890150279
9,1,0,8.571428571,10,9.047619048,10,10.23719647,NA,3.24999975,3.972221917,3.611110833,2.281902118
10,1,1,4.761904762,4.285714286,NA,NA,NA,3.24999975,3.24999975,3.24999975,NA,NA
11,1,1,8.571428571,6.666666667,6.666666667,7.619047619,8.184666242,2.1666665,2.527777583,3.24999975,2.888888667,0.549912443
12,0,1,7.619047619,6.666666667,7.619047619,8.095238095,7.786389784,3.24999975,2.527777583,2.888888667,2.888888667,4.088953213
13,0,1,4.761904762,7.619047619,7.142857143,7.142857143,7.638803818,2.527777583,3.24999975,1.444444333,1.805555417,1.833754695
14,0,1,4.761904762,8.571428571,9.047619048,9.047619048,9.938191486,2.888888667,3.24999975,3.24999975,3.24999975,2.289831113
15,0,1,5.714285714,3.80952381,NA,NA,NA,3.24999975,2.1666665,1.805555417,NA,NA
16,0,1,5.714285714,7.142857143,4.761904762,4.761904762,7.428368978,3.24999975,2.527777583,2.527777583,2.527777583,1.28277337
17,0,1,4.761904762,8.571428571,8.571428571,8.095238095,8.610346293,1.805555417,1.805555417,2.888888667,2.1666665,2.625514008
18,0,1,5.714285714,5.238095238,5.714285714,7.142857143,7.775613698,3.611110833,3.611110833,3.611110833,3.611110833,3.896287613
19,0,1,8.571428571,6.666666667,7.619047619,7.619047619,8.358661487,3.24999975,2.527777583,3.24999975,3.972221917,5.356532977
20,0,1,7.619047619,6.666666667,7.619047619,7.619047619,8.083051884,3.24999975,2.1666665,2.527777583,2.888888667,1.955941678
21,1,0,8.571428571,8.095238095,7.619047619,9.047619048,8.811948843,2.1666665,2.888888667,2.888888667,3.24999975,4.153690655
22,0,0,4.761904762,7.619047619,7.619047619,7.142857143,7.691732505,2.527777583,2.888888667,3.24999975,3.611110833,3.528539478
23,1,0,7.142857143,7.142857143,6.666666667,8.095238095,7.336368116,2.1666665,0,2.1666665,2.1666665,2.627295944
24,1,0,7.619047619,7.142857143,6.666666667,8.095238095,6.64290125,2.1666665,2.527777583,3.24999975,2.888888667,4.355857468
25,0,0,9.523809524,10,10,9.523809524,9.908993722,1.805555417,2.888888667,NA,NA,NA
26,0,1,9.523809524,8.095238095,8.571428571,7.619047619,8.597559833,2.527777583,2.1666665,3.24999975,2.888888667,5.315547084
27,0,1,6.190476191,6.190476191,6.190476191,6.190476191,9.099313555,3.24999975,2.527777583,1.805555417,2.1666665,4.50585628
28,0,1,7.142857143,7.619047619,5.714285714,6.190476191,6.432578407,3.24999975,2.527777583,2.527777583,2.888888667,3.450871801
29,0,1,7.619047619,6.666666667,6.190476191,6.666666667,7.540218493,3.24999975,2.527777583,2.527777583,2.1666665,2.834969336
30,0,0,7.619047619,6.666666667,6.190476191,10,7.729108896,3.611110833,3.611110833,3.611110833,3.972221917,3.481256175
31,1,0,7.619047619,6.190476191,9.047619048,10,9.724400357,3.24999975,3.24999975,2.888888667,3.24999975,3.073426398
